Code,Label,Year,Employee income earners (no.),Total employee income ($m),Median employee income ($),Mean employee income ($),Own unincorporated business income earners (no.),Total own unincorporated business income ($m),Median own unincorporated business income ($),Mean own unincorporated business income ($),Investment income earners (no.),Total investment income ($m),Median investment income ($),Mean investment income ($),Total income (excl. Government pensions and allowances) ($m),Median total income (excl. Government pensions and allowances) ($),Mean total income (excl. Government pensions and allowances) ($),Total income (excl. Government pensions and allowances) - gini coefficient,Total income (excl. Government pensions and allowances) - income share of top 1% of earners
2,Victoria,2011.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Victoria,2016.0,3048110,174887.8,47469,57376,501879,12011,11177,23932,2416209,23279.2,293,6854,202318.3,46984,60350,0.479,9.5
2,Victoria,2017.0,3151400,184293.1,48219,58480,523202,12933.2,11268,24719,2446441,23835.4,243,9743,213668.9,47709,61489,0.48,9.5
2,Victoria,2018.0,3239361,196542,50019,60673,539640,13763.8,11707,25505,2517491,25895.6,217,10286,228631.1,49266,63442,0.481,9.6
2,Victoria,2019.0,3347084,208873.6,51688,62405,559515,14371.5,11711,25686,2641282,27614.3,171,10455,242783.1,51027,65366,0.477,9.5
2,Victoria,2020.0,3393012,219234.7,53323,64614,568765,14483.6,11262,25465,2578237,26314.9,137,10207,251136.7,51996,66671,0.478,9.3
2,Victoria,2021.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Victoria,2022.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
201,Ballarat,2011.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
201,Ballarat,2016.0,73277,3664.4,43732,50008,13365,243.9,7908,18249,58170,474.1,205,8151,4290.1,43074,52132,0.463,8.3
201,Ballarat,2017.0,75660,3899.9,44933,51545,13748,272.2,8793,19801,58617,467,191,7968,4543.9,44130,53425,0.458,7.6
201,Ballarat,2018.0,77210,4141.7,46987,53642,14022,292.5,9148,20861,59650,524.6,183,8795,4894.5,45964,55822,0.461,8.3
201,Ballarat,2019.0,80080,4442.1,48655,55471,14154,292.2,8974,20643,62886,549.2,144,8734,5158.1,47862,57203,0.454,7.2
201,Ballarat,2020.0,81858,4743,50507,57942,14316,277.4,8400,19375,61127,546.2,114,8936,5426,49070,58893,0.458,7.4
201,Ballarat,2021.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
201,Ballarat,2022.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
202,Bendigo,2011.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
