SA2 code,SA2 name,2023 no,2022-23 no,2022-23 %,Natural increase,Net internal migration,Net overseas migration,Area (km2),persons/km2
201011001,Alfredton,18997,995,5.5,140,695,160,52.7,360.4
201011002,Ballarat,11809,-129,-1.1,-57,-213,141,12.4,954.0
201011005,Buninyong,7323,76,1.0,15,-19,80,51.6,142.0
201011006,Delacombe,12869,1071,9.1,133,898,40,34.2,376.7
201011007,Smythes Creek,4268,45,1.1,11,31,3,104.7,40.8
201011008,Wendouree - Miners Rest,15431,43,0.3,34,-100,109,67.6,228.4
201011481,Ballarat East - Warrenheip,9628,-13,-0.1,-68,-3,58,19.2,501.0
201011482,Ballarat North - Invermay,15015,123,0.8,51,-11,83,73.1,205.3
201011483,Canadian - Mount Clear,12433,38,0.3,18,-127,147,22.3,558.2
201011484,Sebastopol - Redan,12885,-75,-0.6,7,-142,60,10.6,1217.7
201021009,Bacchus Marsh Surrounds,6639,98,1.5,32,49,17,1038.8,6.4
201021010,Creswick - Clunes,7987,18,0.2,-15,12,21,856.8,9.3
201021011,Daylesford,10085,82,0.8,-29,41,70,920.8,11.0
201021012,Gordon (Vic.),6408,29,0.5,35,-23,17,850.3,7.5
201031013,Avoca,3594,52,1.5,-19,60,11,1714.2,2.1
201031014,Beaufort,4709,97,2.1,0,87,10,1863.0,2.5
201031015,Golden Plains - North,4940,46,0.9,19,16,11,922.1,5.4
201031016,Maryborough (Vic.),8154,-18,-0.2,-79,38,23,45.5,179.1
201031017,Maryborough Surrounds,5644,79,1.4,-26,88,17,1627.6,3.5
202011018,Bendigo,14625,-123,-0.8,-30,-252,159,16.1,909.5
202011019,California Gully - Eaglehawk,13310,208,1.6,53,95,60,32.9,404.2
202011020,East Bendigo - Kennington,13974,84,0.6,-42,24,102,17.1,814.9
202011021,Flora Hill - Spring Gully,9460,77,0.8,16,-29,90,13.2,716.5
202011022,Kangaroo Flat - Golden Square,21258,57,0.3,16,-97,138,40.9,519.6
202011023,Maiden Gully,5749,135,2.4,43,79,13,43.0,133.8
202011024,Strathfieldsaye,11271,244,2.2,85,132,27,56.4,199.8
202011025,White Hills - Ascot,15236,330,2.2,158,90,82,67.8,224.8
202021026,Bendigo Surrounds - South,8808,234,2.7,60,148,26,796.9,11.1
202021027,Castlemaine,11495,148,1.3,-40,117,71,83.9,137.0
202021028,Castlemaine Surrounds,9397,99,1.1,-17,81,35,1515.0,6.2
202021029,Heathcote,5261,104,2.0,-12,107,9,756.8,7.0
202021030,Kyneton,10571,9,0.1,-39,-17,65,556.5,19.0
202021031,Woodend,8044,52,0.7,-17,24,45,211.9,38.0
202031032,Bendigo Surrounds - North,5154,132,2.6,12,113,7,1440.2,3.6
