Code,Label,Year,Median equivalised total household income (weekly) ($),$1-$499 per week (%).1,$500-$999 per week (%).1,$1000-$1999 per week (%).1,$2000-$2999 per week (%).1,$3000 or more per week (%).1,Nil income (%).1,Partial income stated (%)
201011001,Alfredton,2011,786.0,,,,,,,
201011001,Alfredton,2016,913.0,16.7,33.0,34.1,4.7,1.6,1.0,7.1
201011001,Alfredton,2017,,,,,,,,
201011001,Alfredton,2018,,,,,,,,
201011001,Alfredton,2019,,,,,,,,
201011001,Alfredton,2020,,,,,,,,
201011001,Alfredton,2021,1113.0,12.7,27.1,39.6,9.8,3.3,1.0,5.3
201011001,Alfredton,2022,,,,,,,,
201011002,Ballarat,2011,762.0,,,,,,,
201011002,Ballarat,2016,903.0,20.8,27.7,30.1,6.8,4.1,1.4,6.8
201011002,Ballarat,2017,,,,,,,,
201011002,Ballarat,2018,,,,,,,,
201011002,Ballarat,2019,,,,,,,,
201011002,Ballarat,2020,,,,,,,,
201011002,Ballarat,2021,1092.0,14.9,26.9,32.7,11.6,7.0,1.5,3.9
201011002,Ballarat,2022,,,,,,,,
201011005,Buninyong,2011,812.0,,,,,,,
201011005,Buninyong,2016,923.0,17.9,30.4,32.5,6.2,2.5,1.1,8.0
201011005,Buninyong,2017,,,,,,,,
201011005,Buninyong,2018,,,,,,,,
201011005,Buninyong,2019,,,,,,,,
201011005,Buninyong,2020,,,,,,,,
201011005,Buninyong,2021,1100.0,13.0,27.7,37.9,10.0,4.4,1.5,4.5
201011005,Buninyong,2022,,,,,,,,
201011006,Delacombe,2011,648.0,,,,,,,
201011006,Delacombe,2016,763.0,25.5,34.7,27.0,2.1,0.6,0.8,6.5
201011006,Delacombe,2017,,,,,,,,
201011006,Delacombe,2018,,,,,,,,
201011006,Delacombe,2019,,,,,,,,
201011006,Delacombe,2020,,,,,,,,
201011006,Delacombe,2021,977.0,16.5,30.4,38.1,6.2,1.2,1.2,4.3
201011006,Delacombe,2022,,,,,,,,
201011007,Smythes Creek,2011,736.0,,,,,,,
201011007,Smythes Creek,2016,860.0,17.2,35.3,31.8,3.4,0.5,0.4,9.1
201011007,Smythes Creek,2017,,,,,,,,
201011007,Smythes Creek,2018,,,,,,,,
201011007,Smythes Creek,2019,,,,,,,,
201011007,Smythes Creek,2020,,,,,,,,
201011007,Smythes Creek,2021,1081.0,12.5,28.3,38.6,7.6,3.2,1.3,7.3
201011007,Smythes Creek,2022,,,,,,,,
201011008,Wendouree - Miners Rest,2011,565.0,,,,,,,
201011008,Wendouree - Miners Rest,2016,634.0,31.6,35.6,19.6,1.5,0.8,1.3,5.9
201011008,Wendouree - Miners Rest,2017,,,,,,,,
201011008,Wendouree - Miners Rest,2018,,,,,,,,
201011008,Wendouree - Miners Rest,2019,,,,,,,,
201011008,Wendouree - Miners Rest,2020,,,,,,,,
201011008,Wendouree - Miners Rest,2021,788.0,23.6,34.2,28.8,3.9,1.3,1.5,3.8
201011008,Wendouree - Miners Rest,2022,,,,,,,,
201011481,Ballarat East - Warrenheip,2011,610.0,,,,,,,
201011481,Ballarat East - Warrenheip,2016,690.0,28.5,34.0,23.9,2.1,0.9,1.3,6.5
201011481,Ballarat East - Warrenheip,2017,,,,,,,,
201011481,Ballarat East - Warrenheip,2018,,,,,,,,
