Code,Label,Year,Employee income earners (no.),Total employee income ($m),Median employee income ($),Mean employee income ($),Own unincorporated business income earners (no.),Total own unincorporated business income ($m),Median own unincorporated business income ($),Mean own unincorporated business income ($),Investment income earners (no.),Total investment income ($m),Median investment income ($),Mean investment income ($),Total income (excl. Government pensions and allowances) ($m),Median total income (excl. Government pensions and allowances) ($),Mean total income (excl. Government pensions and allowances) ($),Total income (excl. Government pensions and allowances) - gini coefficient,Total income (excl. Government pensions and allowances) - income share of top 1% of earners
20110,Alpine,2011.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20110,Alpine,2016.0,5984,258.2,36999,43155,1763,25,7796,14197,5428,38,497,7005,316.5,36669,44247,0.468,6.2
20110,Alpine,2017.0,6047,268.1,38000,44344,1828,27.8,7194,15234,5367,39.6,472,7374,331.9,37350,45463,0.46,6
20110,Alpine,2018.0,6267,286.1,39038,45646,1844,28.7,7939,15569,5543,46.4,436,8366,358.2,38607,47467,0.466,6.5
20110,Alpine,2019.0,6264,298.1,41483,47593,1813,29.9,8997,16510,5595,46.2,353,8252,369.4,41286,49308,0.458,5.9
20110,Alpine,2020.0,6490,325.4,42526,50135,1903,27.6,7311,14522,5569,47.6,332,8546,392.6,41010,50698,0.472,6.3
20110,Alpine,2021.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20110,Alpine,2022.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20260,Ararat,2011.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20260,Ararat,2016.0,5161,231.1,40508,44779,1206,18.4,6741,15256,4141,26.2,356,6333,270.3,39668,45459,0.451,5.3
20260,Ararat,2017.0,5212,239.7,41603,45995,1236,33.2,11514,26855,4036,29.3,357,7256,297.7,41614,49342,0.457,6.8
20260,Ararat,2018.0,5339,252.5,43589,47292,1270,29.7,10337,23358,4115,30.7,323,7464,307.7,43190,49515,0.454,6.2
20260,Ararat,2019.0,5241,264.4,45805,50456,1251,45.8,14454,36586,4142,29.1,244,7034,333.3,46574,54952,0.438,6.1
20260,Ararat,2020.0,5333,275.7,46711,51689,1292,41.6,11861,32222,4003,30.5,229,7631,341.3,46504,54969,0.461,6.6
20260,Ararat,2021.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20260,Ararat,2022.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20570,Ballarat,2011.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20570,Ballarat,2016.0,49164,2506.2,44699,50975,6991,161.4,9090,23093,38269,324.1,189,8469,2933.5,44953,54393,0.454,8.4
20570,Ballarat,2017.0,50318,2652.8,46105,52722,7159,172,9874,24021,38443,326.6,177,8496,3093.3,45942,55631,0.452,7.8
20570,Ballarat,2018.0,51744,2828,48138,54654,7365,181.7,10085,24667,39208,354.4,167,9039,3329.9,47859,57871,0.453,8.4
20570,Ballarat,2019.0,53689,3029.3,49766,56423,7420,180.5,9159,24322,41520,377.7,133,9097,3513.5,49697,59380,0.447,7.5
20570,Ballarat,2020.0,55362,3252.3,51302,58747,7582,177.2,9000,23372,40660,379.4,101,9330,3721.7,50767,60953,0.449,7.5
20570,Ballarat,2021.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20570,Ballarat,2022.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20660,Banyule,2011.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20660,Banyule,2016.0,65521,4144.2,52743,63250,9336,244.9,10990,26235,56792,585.6,455,10310,4786,51515,65721,0.472,8.5
20660,Banyule,2017.0,65900,4335.7,54559,65791,9598,254.7,10669,26536,56897,591.3,414,10392,4992,52841,67431,0.488,8.9
20660,Banyule,2018.0,67283,4600.6,56342,68377,9811,268.4,11397,27359,58158,677.3,386,11646,5372,54519,70497,0.479,9.4
20660,Banyule,2019.0,68149,4824.1,58837,70787,10009,276.7,11124,27647,59507,713.4,342,11989,5650.2,56692,73199,0.478,9.4
20660,Banyule,2020.0,68156,5012.9,61256,73550,10059,284.1,10546,28245,57776,646.7,290,11193,5717.3,58553,74315,0.473,8.4
20660,Banyule,2021.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20660,Banyule,2022.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20740,Bass Coast,2011.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20740,Bass Coast,2016.0,13569,599,37048,44147,3916,75.4,13712,19254,12163,96.4,387,7923,756.7,35998,44549,0.475,6.5
20740,Bass Coast,2017.0,14037,637,37826,45380,4009,78.8,13090,19649,12558,98.1,384,7812,807,36330,45350,0.475,6.3
20740,Bass Coast,2018.0,14667,691.2,39115,47123,4122,84.6,13440,20535,13076,111.8,359,8551,875.5,37559,46996,0.482,6.6
20740,Bass Coast,2019.0,15096,731.1,40611,48430,4139,82.4,13203,19918,13662,125.2,299,9167,934.2,39131,48895,0.478,7.1
20740,Bass Coast,2020.0,16051,819.3,42814,51046,4440,95.2,13534,21430,14060,128.6,243,9150,1026.6,40532,50491,0.478,6.9
20740,Bass Coast,2021.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20740,Bass Coast,2022.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20830,Baw Baw,2011.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20830,Baw Baw,2016.0,22872,1178.3,43928,51517,5934,91.3,8703,15383,18824,138.6,263,7360,1374.1,41961,51058,0.467,6.2
20830,Baw Baw,2017.0,23683,1245.3,44741,52582,6102,95.5,7773,15658,19447,149.1,235,7666,1464.7,42534,52210,0.468,6.5
20830,Baw Baw,2018.0,24564,1345.6,46642,54779,6102,100.7,8247,16506,20105,158.7,226,7894,1566.2,44473,53914,0.463,6
20830,Baw Baw,2019.0,25470,1437.9,49014,56456,5947,97.8,7638,16452,21036,176.5,175,8388,1678.9,46739,56057,0.456,6
20830,Baw Baw,2020.0,26816,1563.8,50344,58316,6136,113.1,9041,18429,20817,180.3,131,8663,1809.5,48180,57988,0.456,6.3
20830,Baw Baw,2021.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20830,Baw Baw,2022.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20910,Bayside (Vic.),2011.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20910,Bayside (Vic.),2016.0,50393,4522.7,56121,89749,9019,427,13459,47345,53295,1461.7,1951,27426,6231.1,58909,99195,0.581,14.1
20910,Bayside (Vic.),2017.0,51168,4715.4,58166,92155,9081,443.9,13967,48882,53756,1461.6,1917,27189,6476.3,59884,100811,0.578,13.4
20910,Bayside (Vic.),2018.0,51841,4948.5,59939,95455,9109,453.2,14103,49748,54789,1650.7,1826,30129,6928.8,61075,105628,0.59,15.2
20910,Bayside (Vic.),2019.0,52627,5115.5,61601,97204,9281,453.8,13949,48895,55237,1728.6,1802,31294,7118.6,63649,107774,0.584,15
20910,Bayside (Vic.),2020.0,52583,5274.9,64379,100316,9230,469.3,13827,50850,54536,1702.8,1629,31223,7212.6,64459,109004,0.584,15.2
20910,Bayside (Vic.),2021.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20910,Bayside (Vic.),2022.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21010,Benalla,2011.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21010,Benalla,2016.0,6207,284.8,41197,45877,1776,22.9,5818,12900,5467,37.8,343,6917,338.2,38821,45470,0.469,6.1
21010,Benalla,2017.0,6154,293.3,42775,47668,1759,21.8,5877,12377,5414,38.1,308,7038,349.7,39583,46435,0.465,5.7
21010,Benalla,2018.0,6303,308.4,44547,48933,1764,22.2,6000,12604,5445,41.6,310,7648,366.4,41382,47751,0.462,5.8
21010,Benalla,2019.0,6387,322.7,46166,50529,1722,18.4,4845,10685,5534,46.1,297,8338,382.8,42624,49438,0.463,5.8
21010,Benalla,2020.0,6554,351.1,48364,53564,1788,17.2,5842,9640,5401,46.2,236,8563,406.4,43992,51046,0.475,6.2
