Code,Label,Year,Employee income earners (no.),Total employee income ($m),Median employee income ($),Mean employee income ($),Own unincorporated business income earners (no.),Total own unincorporated business income ($m),Median own unincorporated business income ($),Mean own unincorporated business income ($),Investment income earners (no.),Total investment income ($m),Median investment income ($),Mean investment income ($),Total income (excl. Government pensions and allowances) ($m),Median total income (excl. Government pensions and allowances) ($),Mean total income (excl. Government pensions and allowances) ($),Total income (excl. Government pensions and allowances) - gini coefficient,Total income (excl. Government pensions and allowances) - income share of top 1% of earners
2,Victoria,2011.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Victoria,2016.0,3048110,174887.8,47469,57376,501879,12011,11177,23932,2416209,23279.2,293,6854,202318.3,46984,60350,0.479,9.5
2,Victoria,2017.0,3151400,184293.1,48219,58480,523202,12933.2,11268,24719,2446441,23835.4,243,9743,213668.9,47709,61489,0.48,9.5
2,Victoria,2018.0,3239361,196542,50019,60673,539640,13763.8,11707,25505,2517491,25895.6,217,10286,228631.1,49266,63442,0.481,9.6
2,Victoria,2019.0,3347084,208873.6,51688,62405,559515,14371.5,11711,25686,2641282,27614.3,171,10455,242783.1,51027,65366,0.477,9.5
2,Victoria,2020.0,3393012,219234.7,53323,64614,568765,14483.6,11262,25465,2578237,26314.9,137,10207,251136.7,51996,66671,0.478,9.3
2,Victoria,2021.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Victoria,2022.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
50602,Belmont - Victoria Park,2011.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
50602,Belmont - Victoria Park,2016.0,42939,2738.4,53040,63773,5568,113.2,10526,20328,29891,136.9,131,4579,2837.5,52286,64195,0.449,5.9
50602,Belmont - Victoria Park,2017.0,42637,2669.5,52829,62609,5674,108.3,9131,19081,29074,116.2,100,3997,2766.4,51400,62378,0.447,5.8
50602,Belmont - Victoria Park,2018.0,42318,2768.5,55519,65422,5893,111.2,9247,18876,28879,118.2,93,4094,2881.8,53451,64412,0.445,5.9
50602,Belmont - Victoria Park,2019.0,43028,2871.5,56360,66735,6088,122.6,9880,20137,29812,132.6,79,4449,3014.8,54770,66212,0.443,5.9
50602,Belmont - Victoria Park,2020.0,43957,3030,57779,68930,6454,132.5,9624,20526,29645,146.3,57,4935,3187.7,55866,68398,0.447,6.5
50602,Belmont - Victoria Park,2021.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
