School_Name,Address_Line_1,Address_Town,Address_Postcode,LGA_ID,LGA_Name,X,Y
Alberton Primary School,21 Thomson Street,Alberton,3971,681,Wellington (S),146.6666,-38.61771
Allansford and District Primary School,Frank Street,Allansford,3277,673,Warrnambool (C),142.59039,-38.38628
Avoca Primary School,118 Barnett Street,Avoca,3467,599,Pyrenees (S),143.47565,-37.0845
Avenel Primary School,40 Anderson Street,Avenel,3664,643,Strathbogie (S),145.23472,-36.90137
Warrandyte Primary School,5-11 Forbes Street,Warrandyte,3113,421,Manningham (C),145.21398,-37.74268
Belmont Primary School,51 Mt Pleasant Road,Belmont,3216,275,Greater Geelong (C),144.3421,-38.17067
Bacchus Marsh Primary School,56-62 Lerderderg Street,Bacchus Marsh,3340,515,Moorabool (S),144.44312,-37.67303
Ballarat Primary School (Dana Street),401 Dana Street,Ballarat,3350,57,Ballarat (C),143.85394,-37.56401
Wodonga Primary School,Brockley Street,Wodonga,3690,717,Wodonga (C),146.88982,-36.12921
Berwick Primary School,37 Fairholme Boulevard,Berwick,3806,161,Casey (C),145.35442,-38.04409
Beaufort Primary School,2/37 Park Road,Beaufort,3373,599,Pyrenees (S),143.38172,-37.43852
Cheltenham Primary School,231 Charman Road,Cheltenham,3192,91,Bayside (C),145.05463,-37.96861
Cudgee Primary School,3 Hallowells Road,Cudgee,3265,549,Moyne (S),142.65084,-38.34794
Newport Lakes Primary School,Elizabeth Street,Newport,3015,311,Hobsons Bay (C),144.87834,-37.83842
Cavendish Primary School,8-10 Barker Street,Cavendish,3314,626,Southern Grampians (S),142.03989,-37.53087
Colac Primary School,53-65 Murray Street East,Colac,3250,175,Colac-Otway (S),143.59834,-38.33722
Castlemaine Primary School,Cnr Mostyn & Urquhart Street,Castlemaine,3450,543,Mount Alexander (S),144.22233,-37.0666
Campbells Creek Primary School,127 Main Road,Campbells Creek,3451,543,Mount Alexander (S),144.20466,-37.09293
Creswick Primary School,67 Napier Street,Creswick,3363,291,Hepburn (S),143.89156,-37.42411
California Gully Primary School,4-14 Staley Street,California Gully,3556,262,Greater Bendigo (C),144.24986,-36.73321
St Andrews Primary School,Caledonia Street,St Andrews,3761,571,Nillumbik (S),145.26983,-37.60232
Warrnambool West Primary School,35 Hoddle Street,Warrnambool,3280,673,Warrnambool (C),142.4668,-38.36634
Dromana Primary School,Mcculloch Street,Dromana,3936,534,Mornington Peninsula (S),144.95965,-38.33964
Doncaster Primary School,2 - 12 Council Street,Doncaster,3108,421,Manningham (C),145.12967,-37.7868
Echuca Primary School,413-431 High Street,Echuca,3564,137,Campaspe (S),144.74746,-36.1282
Eltham Primary School,Dalton Street,Eltham,3095,571,Nillumbik (S),145.1478,-37.72498
Eaglehawk Primary School,Church St,Eaglehawk,3556,262,Greater Bendigo (C),144.25426,-36.72058
Elphinstone Primary School,26 Wright Street,Elphinstone,3448,543,Mount Alexander (S),144.3329,-37.105
Hallam Primary School,24 Harmer Road,Hallam,3803,161,Casey (C),145.25824,-38.00176
Flemington Primary School,Cnr Mt Alexander Rd & Padman Lane,Flemington,3031,506,Moonee Valley (C),144.93392,-37.78067
Footscray Primary School,Cnr Geelong Road & Barkly St,Footscray,3011,433,Maribyrnong (C),144.89267,-37.79838
Gisborne Primary School,41 Prince Street,Gisborne,3437,413,Macedon Ranges (S),144.58844,-37.49086
Sandringham Primary School,31 Bamfield Street,Sandringham,3191,91,Bayside (C),145.00947,-37.94704
